year,rank,title,film,singers
1983,27,Jalata Hai Badan,Razia Sultan,Lata Mangeshkar
1983,28,Ye Andha Kanoon Hai,Andha Kanoon,Kishore Kumar
1983,29,Chupke Chupke Raat Din,Nikaah,Ghulam Ali
1983,30,Bachke Rehna Re Baba,Pukar,R.D. Burman; Asha Bhosle; Kishore Kumar
1984,1,Tu Mera Janu Hai Tu Mera Dilbar Hai,Hero,Anuradha Paudwal; Manhar Udhas
1984,2,Zindagi Aa Raha Hoon Main,Mashaal,Kishore Kumar
1984,3,Jahaan Chaar Yaar Mil Jaayein,Sharaabi,Kishore Kumar; Amitabh Bachchan
1984,4,Pyar Ka Tohfa Tera,Tohfa,Kishore Kumar; Asha Bhosle
1984,5,Ek Aankh Maaroon To,Tohfa,Kishore Kumar; Asha Bhosle
1984,6,Daftar Ko Der Ho Gayi,Haisiyat,Kishore Kumar; Asha Bhosle
1984,7,De De Pyar De,Sharaabi,Kishore Kumar; Asha Bhosle
1984,8,Mujhe Naulakha Manga De Re,Sharaabi,Kishore Kumar; Asha Bhosle
1984,9,Humein Aur Jeene Ki Chaahat Na Hoti,Agar Tum Na Hote,Kishore Kumar; Lata Mangeshkar
1984,10,Ui Mar Gayi Doctor Babu,Ghar Ek Mandir,Kavita Krishnamurthy
1984,11,Tum Yaad Na Aaya Karo,Jeene Nahin Doonga,Lata Mangeshkar; Shabbir Kumar
1984,12,Tu Rootha To Main Ro Doongi,Jawani,Asha Bhosle
1984,13,Bol Do Meethe Bol Sohniye,Sohni Mahiwal,Asha Bhosle; Shabbir Kumar
1984,14,Kaisi Lag Rahi Hoon Main,Jhutha Sach,Kishore Kumar; Lata Mangeshkar
1984,15,Sajna Sun Sun Meri Chaabi Ki Chhun Chhun,Rishta Kagaz Ka,Lata Mangeshkar
1984,16,Haye Haye Garmi Hai,Maqsad,Kishore Kumar; S. Janaki
1984,17,O Boribunder Chhupa Ke Pallu Ke Andar,Tere Mere Beech Mein,Mahendra Kapoor; Usha Mangeshkar
1984,18,Rabb Mujhe Maaf Kare,Sohni Mahiwal,Asha Bhosle; Anwar
1984,19,Yahoo Yahoo Tumsa Nahin Dekha,Wanted,Kishore Kumar
1984,20,Dhakkam Dhakka Hua Pyar Badha,Kaamyaab,Kishore Kumar; Asha Bhosle
1984,21,Sare Badan Mein Zeher Chadh Gaya,Inquilaab,Kishore Kumar; Asha Bhosle
1984,22,Neele Neele Ambar Par Chand Jab Aaye,Kalakaar,Kishore Kumar
1984,23,Devi O Baby Main Ne Kaha,Maqsad,Kishore Kumar
1984,24,Jawani Ka Khazana Hai,Qaidi,Kishore Kumar; Asha Bhosle
1984,25,Gori Tere Ang Ang Mein,Tohfa,Kishore Kumar; Asha Bhosle
1984,26,Albela Mausam Kehta Hai,Tohfa,Kishore Kumar; Lata Mangeshkar; Kavita Krishnamurthy
1984,27,Sohni Chenab Di Kinare,Sohni Mahiwal,Anupama Deshpande
1984,28,Ek Number Ka Ladka,Kaamyaab,Kishore Kumar; Asha Bhosle
1984,29,Pehla Pehla Pyar Na Bhooley,Mazdoor,Salma Agha
1984,30,Hey Gussa Chhod Dil Na Tod,Maqsad,Kishore Kumar
1985,1,Sun Sahiba Sun Pyar Ki Dhun,Ram Teri Ganga Maili,Lata Mangeshkar
1985,2,Yashoda Ka Nandlala,Sanjog,Lata Mangeshkar
1985,3,Tumse Milkar Na Jaane Kyun,Pyar Jhukta Nahin,Kavita Krishnamurthy; Shabbir Kumar
1985,4,Tarzan My Tarzan,Tarzan,Alisha Chinai
1985,5,Ye Raat Mein Jo Maza Hai,Kasam Paida Karne Wale Ki,Salma Agha
