year,rank,title,film,singers
1966,3,Huzoor-E-Wala Jo Ho Ijazat,Yeh Raat Phir Na Aayegi,Asha Bhosle; Minoo Purushottam
1966,4,Jhumka Gira Re Bareli Ke Bazaar Mein,Mera Saaya,Asha Bhosle
1966,5,Dheere Dheere Machal,Anupama,Lata Mangeshkar
1966,6,Japan Love In Tokyo,Love In Tokyo,Mohammed Rafi
1966,7,Sajan Re Jhoot Mat Bolo,Teesri Kasam,Mukesh
1966,8,Usko Nahin Dekha Humne Kabhi,Daadi Maa,Manna Dey; Mahendra Kapoor
1966,8,Garibon Ki Suno,Dus Lakh,Mohammed Rafi; Asha Bhosle
1966,10,Badtameez Kaho Ya Kaho,Budtameez,Mohammed Rafi
1966,11,Dil Ne Phir Yaad Kiya,Dil Ne Phir Yaad Kiya,Mohammed Rafi; Mukesh; Suman Kalyanpur
1966,12,Badal Jaye Agar Mali,Baharen Phir Bhi Aayengi,Mahendra Kapoor
1966,13,Chhu Lene Do Nazuk Hothon Ko,Kaajal,Mohammed Rafi
1966,13,Mere Dushman Tu Meri Dosti Ko Tarse,Aaye Din Bahar Ke,Mohammed Rafi
1966,14,Ye Aajkal Ke Ladke,Dillagi,Usha Mangeshkar
1966,15,Shishe Se Piya Paimane Se Pi,Phool Aur Patthar,Asha Bhosle
1966,15,O Haseena Zulfon Wali,Teesri Manzil,Mohammed Rafi; Asha Bhosle
1966,16,Tu Jahan Jahan Chalega,Mera Saaya,Lata Mangeshkar
1966,18,Sayonara Wada Nibhaungi,Love In Tokyo,Lata Mangeshkar
1966,19,Mera Pyar Woh Hai Ke Mar Kar,Yeh Raat Phir Na Aayegi,Mahendra Kapoor
1966,19,Kaliyon Ne Ghoonghat Khole,Dil Ne Phir Yaad Kiya,Mohammed Rafi
1966,20,Payal Ki Jhankaar Raste Raste,Mere Lal,Lata Mangeshkar
1966,21,Titli Udi Ud Jo Chali,Suraj,Sharda
1966,21,Aaja Aaja Main Hoon Pyar Tera,Teesri Manzil,Mohammed Rafi; Asha Bhosle
1966,22,Nainon Wali Ne Hay Mera Dil Luta,Mera Saaya,Asha Bhosle
1966,23,Kajal Wale Nain Mila Ke,Devar,Mohammed Rafi
1966,24,Gore Hathon Par Na Zulm Karo,Pyar Kiye Ja,Mohammed Rafi
1966,24,Aa Lag Ja Gale Dilruba,Dus Lakh,Mohammed Rafi
1966,26,Din Jawani Ke Char Yaar,Pyar Kiye Ja,Kishore Kumar
1966,27,Dilruba Maine Tere Pyar Mein,Dil Diya Dard Liya,Mohammed Rafi
1966,28,Akele Hain Chale Aao,Raaz,Mohammed Rafi
1966,30,Rahen Na Rahen Hum,Mamta,Lata Mangeshkar
1966,31,Baharon Ne Mera Chaman Luta Kar,Devar,Mukesh
1966,32,Guzare Hain Aaj Ishq Mein,Dil Diya Dard Liya,Mohammed Rafi
1966,32,Ye Kali Jab Talak Phool Ban Ke Khile,Aaye Din Bahar Ke,Lata Mangeshkar; Mahendra Kapoor
1967,1,Sawan Ka Mahina Pawan Kare Shor,Milan,Mukesh; Lata Mangeshkar
1967,2,O Mere Sona Re Sona Re,Teesri Manzil,Mohammed Rafi; Asha Bhosle
1967,3,Baharon Mera Jeevan Bhi Sawaro,Aakhri Khat,Lata Mangeshkar
1967,4,Deewana Mujhko Log Kahen,Diwana,Mukesh
1967,5,Dheere Dheere Machal,Anupama,Lata Mangeshkar
1967,6,Hum Tum Yug Yug Se,Milan,Mukesh; Lata Mangeshkar
1967,7,Kaise Karun Prem Ki Main Baat,Anita,Lata Mangeshkar
1967,7,Aayi Hai Baharen Mite Zulm-O-Sitam,Ram Aur Shyam,Mohammed Rafi
1967,9,Duniya Ki Sair Kar Lo,Around The World,Sharda
1967,10,Aaja Piya Tohe Pyar Doon,Baharon Ke Sapne,Lata Mangeshkar
1967,11,Ehsan Mere Dil Pe Tumhara Hai Doston,Gaban,Mohammed Rafi
1967,12,Aaj Ki Raat Ye Kaisi Raat,Aman,Mohammed Rafi
1967,13,Mere Dushman Tu Meri Dosti Ko,Aaye Din Bahar Ke,Mohammed Rafi
1967,14,Chhoti Si Mulaqat Pyar Ban Gayi,Chhoti Si Mulaqat,Mohammed Rafi
1967,15,O Haseena Zulfon Wali,Teesri Manzil,Mohammed Rafi; Asha Bhosle
1967,16,Dhani Chunri Pehen,Hare Kanch Ki Chudiyan,Asha Bhosle
1967,17,Mubarak Ho Sabko,Milan,Mukesh
1967,17,Hum Intezar Karenge,Bahu Begum,Mohammed Rafi; Asha Bhosle
1967,18,Meri Awaz Suno,Naunihal,Mohammed Rafi
1967,19,Kaliyon Ne Ghoonghat Khole,Dil Ne Phir Yaad Kiya,Mohammed Rafi
1967,20,Aankh Milaye Na Muskuraye Na,Milan Ki Raat,Mohammed Rafi
1967,21,Aaja Aaja Main Hoon Pyar Tera,Teesri Manzil,Mohammed Rafi; Asha Bhosle
1967,22,Main Dekhoon Jis Or Sakhi Ri,Anita,Lata Mangeshkar
1967,22,Bade Miya Deewane Aise Na Bano,Shagird,Mohammed Rafi
1967,23,Maa Mujhe Apne Aanchal Mein,Chhota Bhai,Lata Mangeshkar
1967,24,Aa Lag Ja Gale Dilruba,Dus Lakh,Mohammed Rafi
1967,25,Mere Desh Ki Dharti,Upkar,Mahendra Kapoor
1967,26,Pyar Mohabbat Ke Siwa,Pyar Mohabbat,Mohammed Rafi; Asha Bhosle
1967,27,Aayega Aayega Ek Chhail Chabila,Meharban,Mohammed Rafi
1967,28,Ram Kare Kahin Naina Na Uljhe,Gunahon Ka Devta,Lata Mangeshkar
1967,29,Aji Aisa Mauka Phir Kahan Milega,An Evening In Paris,Mohammed Rafi
1967,30,Chaha Tha Banu Pyar Ki Rahon Ka Devta,Gunahon Ka Devta,Mukesh
1967,30,Ye Raat Jaise Dulhan Ban Gayi,Ram Aur Shyam,Mohammed Rafi
1967,31,Kal Raat Zindagi Se Mulaqat,Palki,Mohammed Rafi
1967,32,Ye Kali Jab Talak Phool Ban Ke Khile,Aaye Din Bahar Ke,Mahendra Kapoor; Lata Mangeshkar
1968,1,Dil Vil Pyar Vyar Main Kya Jaanu Re,Shagird,Lata Mangeshkar
1968,2,Mere Samne Wali Khidki Mein,Padosan,Kishore Kumar
1968,3,Ae Neele Gagan Ke Tale,Hamraaz,Mahendra Kapoor
1968,4,Aajkal Tere Mere Pyar Ke Charche,Brahmachari,Mohammed Rafi; Suman Kalyanpur
1968,5,Chandan Sa Badan,Saraswati Chandra,Mukesh
1968,6,Honton Mein Aisi Baat,Jewel Thief,Lata Mangeshkar
1968,7,Aayi Hai Baharen Mite Zulm-O-Sitam,Ram Aur Shyam,Mohammed Rafi
1968,8,Milti Hai Zindagi Mein Mohabbat,Aankhen,Lata Mangeshkar
1968,9,Parde Mein Rehne Do,Shikar,Asha Bhosle
1968,10,Bata Doon Kya Laana Tum Laut Ke Aa Jana,Patthar Ke Sanam,Lata Mangeshkar
1968,11,Aasman Se Aaya Farishta,An Evening In Paris,Mohammed Rafi
1968,12,Humne Jo Dekhe Sapne,Parivar,Mahendra Kapoor; Lata Mangeshkar
1968,13,Unse Mili Nazar Ke Mere Hosh Ud Gaye,Jhuk Gaya Aasman,Lata Mangeshkar
1968,14,Chalo Sajna Jahan Tak Ghata Chale,Mere Humdum Mere Dost,Lata Mangeshkar
1968,15,Tumhari Nazar Kyon Khafa Ho Gayi,Do Kaliyan,Mohammed Rafi; Lata Mangeshkar
1968,16,Mera Naam Hai Chameli,Raja Aur Runk,Lata Mangeshkar
1968,17,Yeh Dil Na Hota Bechara,Jewel Thief,Kishore Kumar
1968,18,Kahan Chal Diye Idhar To Aao,Jhuk Gaya Aasman,Mohammed Rafi
1968,19,Tum Agar Saath Dene Ka Wada Karo,Hamraaz,Mahendra Kapoor
1968,20,Mehboob Mere Mehboob Mere,Patthar Ke Sanam,Mukesh; Lata Mangeshkar
1968,21,Bachche Man Ke Sachche,Do Kaliyan,Lata Mangeshkar
1968,22,Bade Miya Deewane,Shagird,Mohammed Rafi; Manna Dey
1968,23,Babul Ki Duayen Leti Ja,Neel Kamal,Mohammed Rafi
1968,24,Chhalkaye Jaam Aaiye,Mere Humdum Mere Dost,Mohammed Rafi
1968,25,Sawere Wali Gaadi Se,Laat Saheb,Mohammed Rafi
1968,26,Main Chali Main Chali,Padosan,Lata Mangeshkar; Asha Bhosle
1968,27,Chale The Saath Milke,Haseena Maan Jayegi,Mohammed Rafi
1968,28,Kasme Wade Pyar Wafa,Upkar,Manna Dey
1968,29,Dil Ke Jharokhe Mein,Brahmachari,Mohammed Rafi
1968,30,Aaj Ki Raat Mere Dil Ki Salami Le Le,Ram Aur Shyam,Mohammed Rafi
1968,31,Kaun Rokega Ab Pyar Ka Raasta,Ek Kali Muskayi,Lata Mangeshkar
1968,32,Mast Baharon Ka Main Aashiq,Farz,Mohammed Rafi
1969,1,Kaise Rahoon Chup,Intaqam,Lata Mangeshkar
1969,2,O Re Taal Mile Nadi Ke Jal Mein,Anokhi Raat,Mukesh
1969,3,Parai Hoon Parai,Kanyadan,Lata Mangeshkar
1969,4,Chal Akela Chal Akela,Sambandh,Mukesh
1969,6,Aa Mere Hamjoli Aa,Jeene Ki Raah,Mohammed Rafi; Mahendra Kapoor
1969,7,Chandi Ki Diwar Na Todi,Vishwas,Mukesh
1969,8,Likhe Jo Khat Tujhe,Kanyadan,Mohammed Rafi
1969,9,Je Hum Tum Chori Se,Dharti Kahe Pukar Ke,Lata Mangeshkar; Mukesh
1969,10,Yeh Parda Hata Do,Ek Phool Do Mali,Mohammed Rafi; Asha Bhosle
1969,11,Badan Pe Sitare Lapete Huye,Prince,Mohammed Rafi
1969,12,Ek Tera Saath Humko,Wapas,Lata Mangeshkar; Mohammed Rafi
1969,13,Kajra Mohabbat Wala,Kismat,Asha Bhosle; Shamshad Begum
1969,14,Mere Sapnon Ki Rani,Aradhana,Kishore Kumar
1969,15,O Ni Sultana Re,Pyar Ka Mausam,Lata Mangeshkar; Mohammed Rafi
1969,17,Tum Bin Jaoon Kahan,Pyar Ka Mausam,Mohammed Rafi
1969,17,Tum Bin Jaoon Kahan,Pyar Ka Mausam,Kishore Kumar
1969,18,Aane Se Uske Aaye Bahar,Jeene Ki Raah,Mohammed Rafi
1969,19,Badra Chhaye,Aya Sawan Jhoom Ke,Lata Mangeshkar; Mohammed Rafi
1969,20,Hay O Ganga Maiya,Suhaag Raat,Lata Mangeshkar
1969,21,Mera Pyar Bhi Tu Hai,Saathi,Mukesh; Suman Kalyanpur
1969,22,Ruk Ja Zara Kidhar Ko Chala,Izzat,Lata Mangeshkar
1969,23,Reshmi Dori Ho Kahan Jaiho,Sajan,Lata Mangeshkar; Mohammed Rafi
1969,24,Dil Ki Awaz Bhi Sun,Humsaya,Mohammed Rafi
1969,25,Mehbooba Mehbooba Bana Lo Mujhe Dulha,Sadhu Aur Shaitaan,Mohammed Rafi; Mehmood
1969,26,Jungle Mein Mor Nacha,Shatranj,Lata Mangeshkar
1969,27,Kab Tak Huzoor Roothe Rahoge,Aulaad,Lata Mangeshkar
1969,28,Mere Jeevan Saathi Kali Thi Main To,Saathi,Lata Mangeshkar
1969,30,Yaqeen Kar Lo Mujhe,Yakeen,Mohammed Rafi
1969,31,Hoye Bujho Puchho Woh Kaun Hai,Anjaana,Lata Mangeshkar; Mukesh
1969,32,Kora Kagaz Tha Yeh Man Mera,Aradhana,Kishore Kumar; Lata Mangeshkar
1969,33,Seekha Nahin Sabak Tune,Sapnon Ka Saudagar,Lata Mangeshkar
1969,34,Main To Bhool Chali Babul Ka Des,Saraswati Chandra,Lata Mangeshkar
1969,35,Ganga Meri Maa Ka Naam,Tumse Achha Kaun Hai,Mohammed Rafi
1969,36,Thandi Thandi Hawa Mein,Prince,Lata Mangeshkar
1970,1,Bindiya Chamkegi Chudi Khankegi,Do Raaste,Lata Mangeshkar
1970,2,Meri Pyari Bahaniya Banegi Dulhaniya,Sachha Jhutha,Kishore Kumar
1970,3,Rangeela Re Tere Rang Mein,Prem Pujari,Lata Mangeshkar
1970,4,Woh Pari Kahan Se Laoon,Pehchan,Mukesh; Suman Kalyanpur; Sharda
1970,5,Khilona Jan Kar Tum To Mera Dil Tod Jaate Ho,Khilona,Mohammed Rafi
1970,6,Iktara Bole Tun Tun,Yaadgar,Mahendra Kapoor
1970,7,Ye Dil Deewana Hai,Ishq Par Zor Nahin,Lata Mangeshkar; Mohammed Rafi
1970,8,Sa Re Ga Ma Pa Main Hoon Bahar,Abhinetri,Kishore Kumar; Lata Mangeshkar
1970,9,Sharifon Ka Zamane Mein,Sharafat,Lata Mangeshkar
1970,10,Shokhiyon Mein Ghola Jaye,Prem Pujari,Kishore Kumar; Lata Mangeshkar
1970,11,Shadi Ke Liye Razamand Kar Li,Devi,Mohammed Rafi
1970,12,Chup Gaye Sare Nazare,Do Raaste,Mohammed Rafi
1970,13,Zindagi Ittifaq Hai,Aadmi Aur Insaan,Asha Bhosle; Mahendra Kapoor
1970,14,Hoye Bujho Puchho Woh Kaun Hai,Anjaana,Lata Mangeshkar; Mukesh
1970,15,Kora Kagaz Tha Yeh Man Mera,Aradhana,Kishore Kumar; Lata Mangeshkar
1970,16,Hai Shukr Ki Tu Hai Ladka,Himmat,Mohammed Rafi
1970,17,Chale Ja Jahan Pyar Mile,Jahan Pyar Mile,Mohammed Rafi
1970,18,Jhilmil Sitaron Ka Aangan Hoga,Jeevan Mrityu,Lata Mangeshkar; Mohammed Rafi
1970,19,E Bhai Zara Dekh Ke Chalo,Mera Naam Joker,Manna Dey
1970,20,Baghon Mein Bahar Hai,Aradhana,Lata Mangeshkar; Mohammed Rafi
1970,21,Zindagi Ka Safar Hai Ye Kaisa Safar,Safar,Kishore Kumar
1970,22,Roop Tera Mastana,Aradhana,Kishore Kumar
1970,23,Khai Hai Re Humne Qasam,Talash,Lata Mangeshkar
1970,24,Kaan Mein Jhumka Chaal Mein Thumka,Sawan Bhadon,Mohammed Rafi
1970,25,Duniya Hanse Hansati Rahe,Ganwar,Mohammed Rafi
1970,26,Kehta Hai Joker Sara Zamana,Mera Naam Joker,Mukesh
1970,27,Munne Ki Amma Ye To Bata,Tum Haseen Main Jawan,Kishore Kumar
1970,28,Hai Re Hai Neend Nahi Aaye,Humjoli,Lata Mangeshkar; Mohammed Rafi
1970,29,Meri Lottery Lag Jane Wali Hai,Holi Ayee Re,Kishore Kumar
1970,30,Doli Chadh Ke Dulhan Sasural Chali,Doli,Mahendra Kapoor
1970,31,Mere Mitwa Mere Meet Re,Geet,Lata Mangeshkar; Mohammed Rafi
1970,32,Phoolon Ke Rang Se,Prem Pujari,Kishore Kumar
1970,33,Ek Padosan Pichhe Pad Gayi,Gopi,Lata Mangeshkar; Mahendra Kapoor
1971,1,Zindagi Ek Safar Hai Suhana,Andaz,Kishore Kumar
1971,2,Achha To Hum Chalte Hain,Aan Milo Sajna,Kishore Kumar; Lata Mangeshkar
1971,3,Ye Jo Mohabbat Hai,Kati Patang,Kishore Kumar
1971,4,Guni Janon Re Bhakt Janon,Aansoo Aur Muskan,Kishore Kumar
1971,4,Sachhai Chhup Nahin Sakti,Dushman,Kishore Kumar
1971,5,Rama Rama Gazab Hui Gawa Re,Naya Zamana,Lata Mangeshkar
1971,6,Chal Chal Chal Mere Saathi,Haathi Mere Saathi,Kishore Kumar
1971,7,Zindagi Kaisi Hai Paheli,Anand,Manna Dey
1971,8,Hai Na Bolo Bolo,Andaz,Mohammed Rafi; Suman Kalyanpur; Sushma Shrestha
1971,9,Mujhko Thand Lag Rahi Hai,Main Sundar Hoon,Kishore Kumar; Asha Bhosle
1971,10,Twinkle Twinkle Little Star,Purab Aur Pachhim,Asha Bhosle; Mahendra Kapoor
1971,10,Aap Yahan Aaye Kisliye,Kal Aaj Aur Kal,Kishore Kumar; Asha Bhosle
1971,11,Piya Tu Ab To Aaja,Caravan,Asha Bhosle; R.D. Burman
1971,12,He Re Kanhaiya Kisko Kahega Tu Maiya,Chhoti Bahu,Kishore Kumar
1971,13,Naach Meri Jaan,Main Sundar Hoon,Kishore Kumar; Asha Bhosle
1971,14,Tumko Bhi To Aisa Hi Kuchh Hota Hoga,Aap Aye Bahar Ayee,Kishore Kumar; Lata Mangeshkar
1971,15,Chupke Se Dil De De,Maryada,Kishore Kumar; Lata Mangeshkar
1971,16,Jeevan Ki Bagiya Mahkegi,Tere Mere Sapne,Kishore Kumar; Lata Mangeshkar
1971,17,Maine Tere Liye Hi Saat Rang Ke Sapne Chune,Anand,Mukesh
1971,18,O Mere Raja,Johny Mera Naam,Kishore Kumar; Asha Bhosle
1971,19,Yeh Sham Mastani,Kati Patang,Kishore Kumar
1971,20,Chanda O Chanda,Lakhon Mein Ek,Kishore Kumar; Lata Mangeshkar
1971,21,Khilte Hain Gul Yahan,Sharmilee,Lata Mangeshkar
1971,22,O Mitwa Yeh Duniya To Kya Hai,Jal Bin Machhli Nritya Bin Bijli,Lata Mangeshkar
1971,23,Main To Har Mod Par,Chetna,Mukesh
1971,24,Koi Jab Tumhara Hriday Tod De,Purab Aur Pachhim,Mukesh
1971,25,O Meri Sharmilee,Sharmilee,Kishore Kumar
1971,26,Taron Mein Sajke Apne Suraj Se,Jal Bin Machhli Nritya Bin Bijli,Mukesh
1971,27,Bhali Bhali Si Ek Surat,Buddha Mil Gaya,Kishore Kumar; Asha Bhosle
1971,28,Sama Hai Suhana Suhana,Ghar Ghar Ki Kahani,Kishore Kumar
1971,29,Hai Preet Jahan Ki Reet Sada,Purab Aur Pachhim,Mahendra Kapoor
1971,30,Pal Bhar Ke Liye Koi Hamen Pyar Kar Le,Johny Mera Naam,Kishore Kumar
1971,31,Yahan Wahan Sare Jahan Mein,Aan Milo Sajna,Kishore Kumar
1971,32,Sona Lai Ja Re,Mera Gaon Mera Desh,Lata Mangeshkar
1971,34,Ladki Chale Jab Sadkon Pe,Seema,Kishore Kumar
1971,35,Tik Tik Tik Tik,Kal Aaj Aur Kal,Kishore Kumar; Asha Bhosle; Mukesh
1972,1,Dum Maro Dum,Hare Rama Hare Krishna,Asha Bhosle; Usha Iyer
1972,2,Inhin Logon Ne Le Lina Dupatta Mera,Pakeezah,Lata Mangeshkar
1972,3,Chalte Chalte Yunhi Koi Mil Gaya Tha,Pakeezah,Lata Mangeshkar
1972,5,Chingari Koi Bhadke,Amar Prem,Kishore Kumar
1972,7,Duniya Mein Logon Ko Dhokha,Apna Desh,Asha Bhosle; R.D. Burman
1972,8,Ye Jeevan Hai Is Jeevan Ka,Piya Ka Ghar,Kishore Kumar
1972,9,Ye Kya Hua Kaise Hua,Amar Prem,Kishore Kumar
1972,11,Aankhon Aankhon Mein Baat Hone Do,Aankhon Aankhon Mein,Kishore Kumar; Asha Bhosle
1972,12,A B C D Chhodo Naina Se Naina Jodo,Raja Jani,Lata Mangeshkar
1972,12,Hamare Siwa Tumhare Aur Kitne Deewane Hain,Apradh,Kishore Kumar; Lata Mangeshkar
1972,13,O Mere Dil Ke Chain,Mere Jeevan Saathi,Kishore Kumar
1972,13,Main To Chala Jidhar Chale Rasta,Dhadkan,Kishore Kumar
1972,14,Kanchi Re Kanchi Re,Hare Rama Hare Krishna,Kishore Kumar; Lata Mangeshkar
1972,15,Rampur Ka Wasi Hoon,Rampur Ka Lakshman,Kishore Kumar
1972,16,Main Ek Raja Hoon Tu Ek Rani Hai,Uphaar,Mohammed Rafi
1972,17,Hurra Ho Mara Sun Champa Sun Tara,Apna Desh,Kishore Kumar; Lata Mangeshkar
1972,18,Geet Gata Hoon Main,Lal Patthar,Kishore Kumar
1972,20,Shishi Bhari Gulab Ki,Jeet,Lata Mangeshkar
1972,21,Bole Re Papihara,Guddi,Vani Jairam
1972,22,Ik Cheez Mangte Hain Kya,Babul Ki Galiyan,Kishore Kumar; Asha Bhosle
1972,23,Dil Ki Baaten Dil Hi Jane,Roop Tera Mastana,Kishore Kumar; Lata Mangeshkar
1972,24,Hamare Desh Mein Hamne Gaon Ke Panghat Pe,Ek Bechara,Mukesh
1972,25,Dil Ki Kitab Kori Hai,Yaar Mera,Mohammed Rafi; Suman Kalyanpur
1972,26,Jane Jaan Dhundhta Phir Raha Hoon,Jawani Diwani,Kishore Kumar; Asha Bhosle
1972,27,Jane Mujhe Kya Hua Re,Janwar Aur Insaan,Kishore Kumar; Lata Mangeshkar
1972,28,Ladki Punjab Di,Mom Ki Gudiya,Mohammed Rafi
1972,30,Nainon Mein Nindiya Hai,Joru Ka Ghulam,Kishore Kumar; Lata Mangeshkar
1972,31,Mujhe Aisi Mili Hasina,Janwar Aur Insaan,Kishore Kumar
1972,32,Na Tu Zameen Ke Liye,Dastan,Mohammed Rafi
1972,36,Chadti Jawani Meri Chal Mastani,Caravan,Lata Mangeshkar; Mohammed Rafi
1972,37,Aaiye Aapko Main Apne Bangle Ki Sair,Joru Ka Ghulam,Kishore Kumar
1973,1,Yaari Hai Imaan Mera Yaar Meri Zindagi,Zanjeer,Manna Dey
1973,2,Hum Tum Ek Kamre Mein Band Hon,Bobby,Lata Mangeshkar; Shailendra Singh
1973,3,Do Bechare Bina Sahare,Victoria No. 203,Kishore Kumar; Mahendra Kapoor
1973,4,Meri Bheegi Bheegi Si,Anamika,Kishore Kumar
1973,5,Samjhauta Ghamon Se Kar Lo,Samjhauta,Kishore Kumar
1973,5,Are Rafta Rafta Dekho Aankh Meri Ladi Hai,Kahani Kismat Ki,Kishore Kumar
1973,6,Tere Nainon Ke Main Deep Jalaunga,Anuraag,Mohammed Rafi; Lata Mangeshkar
1973,7,Ab Chahe Maa Roothe Ya Baba,Daag,Kishore Kumar; Lata Mangeshkar
1973,8,Yaari Ho Gayi Yaar Se,Do Chor,Lata Mangeshkar
1973,9,Dheere Se Jana Khatiya Mein,Chhupa Rustam,Kishore Kumar
1973,10,Jab Andhera Hota Hai,Raja Rani,Asha Bhosle; Bhupinder Singh
1973,11,Hawa Ke Saath Saath,Seeta Aur Geeta,Kishore Kumar; Asha Bhosle
1973,12,A B C D Chhodo,Raja Jani,Lata Mangeshkar
1973,13,O Mere Dil Ke Chain,Mere Jeevan Saathi,Kishore Kumar
1973,15,Muthu Kodi Kawadi Hada,Do Phool,Asha Bhosle; Mehmood
1973,16,Tere Mere Milan Ki Yeh Raina,Abhimaan,Kishore Kumar; Lata Mangeshkar
1973,17,Dheere Dheere Bol Koi Sun Na Le,Gora Aur Kala,Mukesh; Lata Mangeshkar
1973,18,Gir Gaya Jhumka Girne Do,Jugnu,Kishore Kumar; Lata Mangeshkar
1973,19,Kali Palak Teri Gori,Do Chor,Kishore Kumar; Lata Mangeshkar
1973,20,Mere Dil Mein Aaj Kya Hai,Daag,Kishore Kumar
1973,21,Main Ek Chor Tu Meri Rani,Raja Rani,Kishore Kumar; Lata Mangeshkar
1973,22,Sansar Ki Har Shay Ka,Dhund,Mahendra Kapoor
1973,23,Meet Na Mila Re Man Ka,Abhimaan,Kishore Kumar
1973,24,Chal Chalen Ae Dil,Jheel Ke Us Paar,Lata Mangeshkar
1973,25,Musafir Hoon Yaaron,Parichay,Kishore Kumar
1973,26,Tu Na Mili To Hum Jogi Ban Jayenge,Victoria No. 203,Kishore Kumar
1973,27,Gori Gori Gaon Ki Gori Re,Yeh Gulistan Hamara,Kishore Kumar; Lata Mangeshkar
1973,28,Gum Hai Kisike Pyar Mein,Rampur Ka Lakshman,Kishore Kumar; Lata Mangeshkar
1973,29,Aaj Mausam Bada Beimaan Hai,Loafer,Mohammed Rafi
1973,30,Bure Bhi Hum Bhale Bhi Hum,Banarasi Babu,Kishore Kumar
1973,31,Sun Ri Pawan Pawan Purwaiya,Anuraag,Lata Mangeshkar
1973,32,Jhoot Bole Kauwa Kaate,Bobby,Lata Mangeshkar; Shailendra Singh
1973,33,Deewane Hain Deewanon Ko,Zanjeer,Mohammed Rafi; Lata Mangeshkar
1973,34,Usne Macha Diya Shor,Shor,Lata Mangeshkar
1973,35,Kayi Sadiyon Se Kayi Janmon Se,Milap,Mukesh
1973,36,Bahon Mein Chale Aao,Anamika,Lata Mangeshkar
1974,1,Mehngai Maar Gayi,Roti Kapada Aur Makaan,Narendra Chanchal; Jani Babu Qawwal; Lata Mangeshkar; Mukesh
1974,1,Mera Jeevan Kora Kagaz,Kora Kagaz,Kishore Kumar
1974,2,Hai Hai Yeh Majboori,Roti Kapada Aur Makaan,Lata Mangeshkar
1974,2,Jai Bolo Shiv Shankar Ki Jai,Aap Ki Kasam,Kishore Kumar; Lata Mangeshkar
1974,3,Jhoot Bole Kauwa Kaate,Bobby,Lata Mangeshkar; Shailendra Singh
1974,4,Chunari Gote Mein,Kunwara Baap,Mohammed Rafi; Mehmood
1974,4,Gaadi Bula Rahi Hai,Dost,Kishore Kumar
1974,6,Peene Walon Ko Peene Ka Bahana Chahiye,Haath Ki Safai,Kishore Kumar
1974,8,Le Jayenge Dilwale Dulhaniya Le Jayenge,Chor Machaye Shor,Kishore Kumar; Asha Bhosle
1974,9,Jhoom Barabar Jhoom Sharabi,5 Rifles,Aziz Nazan
1974,10,Teri Galiyon Mein Na Rakhenge Qadam,Hawas,Mohammed Rafi
1974,11,Chura Liya Hai Tumne Jo Dil Ko,Yaadon Ki Baarat,Asha Bhosle
1974,12,Main Shayar To Nahin,Bobby,Shailendra Singh
1974,13,Ye Dil Aur Unki Nigahon Ke Saye,Prem Parbat,Lata Mangeshkar
1974,14,Panna Ki Tamanna Hai Ki Heera Mujhe Mil Jaye,Heera Panna,Kishore Kumar; Lata Mangeshkar
1974,15,Raaz Ki Baat Keh Doon To,Dharma,Mohammed Rafi; Asha Bhosle
1974,16,Meet Na Mila Re Man Ka,Abhimaan,Kishore Kumar
1974,17,Main Hoon Ghoda Ye Hai Gaadi,Kunwara Baap,Kishore Kumar; Mehmood
1974,19,Ek Daal Par Tota Bole,Chor Machaye Shor,Lata Mangeshkar; Mohammed Rafi
1974,20,Aapke Kamre Mein Koi Rehta Hai,Yaadon Ki Baarat,Kishore Kumar; Asha Bhosle; R.D. Burman
1974,22,Shor Mach Gaya Shor Dekho Aaya Makhan Chor,Badla,Kishore Kumar
1974,23,Tu Ru Ru Tera Mera Pyar Shuru,Jwar Bhata,Kishore Kumar
1974,24,O Manchali Kahan Chali,Manchali,Kishore Kumar
1974,25,Gham Ka Fasana Ban Gaya Achha,Manchali,Kishore Kumar
1974,26,Ye Samjho Aur Samjhao,Jwar Bhata,Kishore Kumar; Lata Mangeshkar
1974,27,Chup Chup Kyon Baithi Ho,Humrahi,Mohammed Rafi
1974,28,Aaya Hoon Main Tujhko Le Jaunga,Manoranjan,Kishore Kumar; Asha Bhosle
1974,29,Wada Kar Le Sajna,Haath Ki Safai,Lata Mangeshkar; Mohammed Rafi
1974,30,Sala Main To Sahab Ban Gaya,Sagina,Kishore Kumar
1974,31,Yadon Ki Barat Nikli Hai Aaj,Yaadon Ki Baarat,Kishore Kumar; Mohammed Rafi
1974,32,Baith Ja Khadi Ho Ja,Amir Garib,Kishore Kumar; Lata Mangeshkar
1975,1,Mehngai Maar Gayi,Roti Kapada Aur Makaan,Narendra Chanchal; Jani Babu Qawwal; Lata Mangeshkar; Mukesh
1975,2,Hai Hai Yeh Majboori,Roti Kapada Aur Makaan,Lata Mangeshkar
1975,3,Bhool Gaya Sab Kuchh,Julie,Kishore Kumar; Lata Mangeshkar
1975,4,Geet Gata Chal O Saathi,Geet Gaata Chal,Jaspal Singh
1975,5,Tere Bina Zindagi Se Koi Shikwa To Nahin,Aandhi,Kishore Kumar; Lata Mangeshkar
1975,5,Chal Sanyasi Mandir Mein,Sanyasi,Lata Mangeshkar; Mukesh
1975,6,Mehbooba Mehbooba,Sholay,R.D. Burman
1975,6,Wada Kar Le Sajna,Haath Ki Safai,Mohammed Rafi; Lata Mangeshkar
